127.0.0.1 - - [11/Apr/2024:18:56:24 -0300] "GET / HTTP/1.1" 404 695
127.0.0.1 - - [11/Apr/2024:19:25:15 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:25:16 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1144
127.0.0.1 - - [11/Apr/2024:19:25:16 -0300] "GET /tasks/ HTTP/1.1" 200 4632
127.0.0.1 - - [11/Apr/2024:19:25:16 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
127.0.0.1 - - [11/Apr/2024:19:25:16 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
127.0.0.1 - - [11/Apr/2024:19:25:16 -0300] "GET /favicon.ico HTTP/1.1" 404 683
127.0.0.1 - - [11/Apr/2024:19:25:17 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:25:17 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:25:17 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1144
127.0.0.1 - - [11/Apr/2024:19:25:17 -0300] "POST /tasks/save HTTP/1.1" 500 287
127.0.0.1 - - [11/Apr/2024:19:25:30 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:25:30 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1144
127.0.0.1 - - [11/Apr/2024:19:25:30 -0300] "GET /tasks/ HTTP/1.1" 200 4632
127.0.0.1 - - [11/Apr/2024:19:25:30 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
127.0.0.1 - - [11/Apr/2024:19:25:30 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
127.0.0.1 - - [11/Apr/2024:19:25:30 -0300] "GET /favicon.ico HTTP/1.1" 404 683
